판매일자,판매처,상품명,카테고리,단가,수량,원가,매출,이익
2020-01-01,표준협회,벨트,헬스용품,64900,11,62950,713900,21450
2020-01-02,테크브루,하이패스,자동차용품,48100,17,46660,817700,24480
2020-01-02,멀티캠퍼스,후방카메라,자동차용품,50400,11,48380,554400,22220
2020-01-06,생산성본부,랜턴,캠핑용품,94600,12,89870,1135200,56760
2020-01-07,한경아카데미,천막,캠핑용품,78900,4,75740,315600,12640
2020-01-11,테크브루,침낭,캠핑용품,66000,4,58740,264000,29040
2020-01-18,멀티캠퍼스,헤드유닛,자동차용품,21800,9,20710,196200,9810
2020-01-24,생산성본부,랜턴,캠핑용품,94600,4,89870,378400,18920
2020-01-30,멀티캠퍼스,헤드유닛,자동차용품,21800,19,20710,414200,20710
2020-01-31,생산성본부,내비게이션,자동차용품,44500,18,42280,801000,39960
2020-02-06,한경아카데미,텐트,캠핑용품,94900,20,80660,1898000,284800
2020-02-06,표준협회,취사용품,캠핑용품,57800,1,49710,57800,8090
2020-02-06,테크브루,블랙박스,자동차용품,38600,3,35900,115800,8100
2020-02-08,표준협회,윤활방청제,자동차용품,57400,17,52810,975800,78030
2020-02-09,표준협회,랜턴,캠핑용품,94600,14,89870,1324400,66220
2020-02-15,한경아카데미,블랙박스,자동차용품,38600,18,35900,694800,48600
2020-02-16,테크브루,매트,캠핑용품,15200,19,14140,288800,20140
2020-02-17,한경아카데미,스텝퍼,헬스용품,35200,10,32030,352000,31700
2020-02-18,한경아카데미,타프,캠핑용품,86100,11,74050,947100,132550
2020-02-19,표준협회,핸즈프리,자동차용품,55300,13,50880,718900,57460
2020-03-02,표준협회,자동차TV,자동차용품,21500,16,18920,344000,41280
2020-03-07,생산성본부,방전매트,자동차용품,65500,3,57640,196500,23580
2020-03-09,표준협회,침낭,캠핑용품,66000,14,58740,924000,101640
2020-03-10,생산성본부,하이패스,자동차용품,48100,15,46660,721500,21600
2020-03-10,한경아카데미,후방카메라,자동차용품,50400,17,48380,856800,34340
2020-03-12,표준협회,헬스사이클,헬스용품,77100,2,69390,154200,15420
2020-03-16,멀티캠퍼스,아이스박스,캠핑용품,30400,11,28580,334400,20020
2020-03-22,테크브루,복근운동기구,헬스용품,10500,17,8920,178500,26860
2020-03-24,멀티캠퍼스,자동차TV,자동차용품,21500,5,18920,107500,12900
2020-03-28,표준협회,벨트,헬스용품,64900,8,62950,519200,15600
2020-04-02,표준협회,벨트,헬스용품,64900,19,62950,1233100,37050
2020-04-09,생산성본부,침낭,캠핑용품,66000,4,58740,264000,29040
2020-04-09,표준협회,윤활방청제,자동차용품,57400,8,52810,459200,36720
2020-04-13,테크브루,보조배터리,캠핑용품,75000,6,69000,450000,36000
2020-04-15,테크브루,방전매트,자동차용품,65500,18,57640,1179000,141480
2020-04-18,표준협회,위터저그,캠핑용품,75300,12,73790,903600,18120
2020-04-18,한경아카데미,트램펄린,헬스용품,95000,13,92150,1235000,37050
2020-04-24,멀티캠퍼스,거꾸리,헬스용품,33400,8,29390,267200,32080
2020-04-26,테크브루,하이패스,자동차용품,48100,1,46660,48100,1440
2020-04-28,표준협회,후방카메라,자동차용품,50400,17,48380,856800,34340
2020-05-04,테크브루,벨트,헬스용품,64900,5,62950,324500,9750
2020-05-05,테크브루,매트,캠핑용품,15200,7,14140,106400,7420
2020-05-09,테크브루,보조배터리,캠핑용품,75000,16,69000,1200000,96000
2020-05-12,표준협회,매트,캠핑용품,15200,16,14140,243200,16960
2020-05-15,표준협회,자동차TV,자동차용품,21500,2,18920,43000,5160
2020-05-26,한경아카데미,천막,캠핑용품,78900,5,75740,394500,15800
2020-05-27,표준협회,랜턴,캠핑용품,94600,7,89870,662200,33110
2020-05-27,테크브루,보조배터리,캠핑용품,75000,14,69000,1050000,84000
2020-05-30,한경아카데미,랜턴,캠핑용품,94600,11,89870,1040600,52030
2020-05-30,생산성본부,거꾸리,헬스용품,33400,19,29390,634600,76190
2020-06-01,한경아카데미,자동차TV,자동차용품,21500,5,18920,107500,12900
2020-06-02,멀티캠퍼스,매트,캠핑용품,15200,7,14140,106400,7420
2020-06-08,생산성본부,트램펄린,헬스용품,95000,5,92150,475000,14250
2020-06-11,한경아카데미,위터저그,캠핑용품,75300,8,73790,602400,12080
2020-06-12,멀티캠퍼스,윤활방청제,자동차용품,57400,7,52810,401800,32130
2020-06-16,한경아카데미,트램펄린,헬스용품,95000,1,92150,95000,2850
2020-06-17,생산성본부,하이패스,자동차용품,48100,12,46660,577200,17280
2020-06-19,한경아카데미,로잉머신,헬스용품,53600,1,50380,53600,3220
2020-06-21,테크브루,러닝머신,헬스용품,38900,15,38510,583500,5850
2020-06-27,한경아카데미,텐트,캠핑용품,94900,15,80660,1423500,213600
2020-07-02,멀티캠퍼스,위터저그,캠핑용품,75300,5,73790,376500,7550
2020-07-08,생산성본부,카오디오,자동차용품,34800,17,32020,591600,47260
2020-07-10,한경아카데미,아이스박스,캠핑용품,30400,18,28580,547200,32760
2020-07-11,한경아카데미,아이스박스,캠핑용품,30400,20,28580,608000,36400
2020-07-11,멀티캠퍼스,러닝머신,헬스용품,38900,19,38510,739100,7410
2020-07-14,테크브루,헬스사이클,헬스용품,77100,1,69390,77100,7710
2020-07-15,한경아카데미,스텝퍼,헬스용품,35200,20,32030,704000,63400
2020-07-17,테크브루,스텝퍼,헬스용품,35200,2,32030,70400,6340
2020-07-26,생산성본부,취사용품,캠핑용품,57800,5,49710,289000,40450
2020-07-28,테크브루,위터저그,캠핑용품,75300,16,73790,1204800,24160
2020-08-09,표준협회,내비게이션,자동차용품,44500,7,42280,311500,15540
2020-08-10,한경아카데미,타프,캠핑용품,86100,15,74050,1291500,180750
2020-08-14,생산성본부,침낭,캠핑용품,66000,19,58740,1254000,137940
2020-08-23,테크브루,침낭,캠핑용품,66000,9,58740,594000,65340
2020-08-24,멀티캠퍼스,로잉머신,헬스용품,53600,9,50380,482400,28980
2020-08-25,테크브루,방전매트,자동차용품,65500,7,57640,458500,55020
2020-08-25,테크브루,웨이트기구,헬스용품,23900,4,21270,95600,10520
2020-08-28,멀티캠퍼스,핸즈프리,자동차용품,55300,2,50880,110600,8840
2020-08-28,표준협회,스텝퍼,헬스용품,35200,7,32030,246400,22190
2020-08-30,생산성본부,벨트,헬스용품,64900,1,62950,64900,1950
2020-09-02,테크브루,거꾸리,헬스용품,33400,12,29390,400800,48120
2020-09-03,생산성본부,매트,캠핑용품,15200,6,14140,91200,6360
2020-09-03,테크브루,웨이트기구,헬스용품,23900,17,21270,406300,44710
2020-09-08,표준협회,복근운동기구,헬스용품,10500,16,8920,168000,25280
2020-09-14,테크브루,헤드유닛,자동차용품,21800,17,20710,370600,18530
2020-09-15,멀티캠퍼스,복근운동기구,헬스용품,10500,16,8920,168000,25280
2020-09-16,표준협회,하이패스,자동차용품,48100,13,46660,625300,18720
2020-09-20,생산성본부,보조배터리,캠핑용품,75000,11,69000,825000,66000
2020-09-20,생산성본부,거꾸리,헬스용품,33400,4,29390,133600,16040
2020-09-30,멀티캠퍼스,로잉머신,헬스용품,53600,11,50380,589600,35420
2020-10-04,한경아카데미,핸즈프리,자동차용품,55300,18,50880,995400,79560
2020-10-07,생산성본부,벨트,헬스용품,64900,15,62950,973500,29250
2020-10-13,멀티캠퍼스,자동차TV,자동차용품,21500,2,18920,43000,5160
2020-10-22,표준협회,취사용품,캠핑용품,57800,6,49710,346800,48540
2020-10-23,테크브루,매트,캠핑용품,15200,7,14140,106400,7420
2020-10-25,표준협회,로잉머신,헬스용품,53600,16,50380,857600,51520
2020-10-26,생산성본부,타프,캠핑용품,86100,2,74050,172200,24100
2020-10-26,생산성본부,훌라후프,헬스용품,87300,5,75950,436500,56750
2020-10-30,표준협회,하이패스,자동차용품,48100,2,46660,96200,2880
2020-10-30,한경아카데미,거꾸리,헬스용품,33400,10,29390,334000,40100
2020-11-02,생산성본부,스텝퍼,헬스용품,35200,14,32030,492800,44380
2020-11-04,테크브루,웨이트기구,헬스용품,23900,20,21270,478000,52600
2020-11-05,멀티캠퍼스,텐트,캠핑용품,94900,13,80660,1233700,185120
2020-11-07,멀티캠퍼스,보조배터리,캠핑용품,75000,5,69000,375000,30000
2020-11-08,한경아카데미,복근운동기구,헬스용품,10500,2,8920,21000,3160
2020-11-17,테크브루,랜턴,캠핑용품,94600,20,89870,1892000,94600
2020-11-17,멀티캠퍼스,거꾸리,헬스용품,33400,20,29390,668000,80200
2020-11-19,표준협회,침낭,캠핑용품,66000,14,58740,924000,101640
2020-11-24,멀티캠퍼스,매트,캠핑용품,15200,17,14140,258400,18020
2020-11-30,멀티캠퍼스,후방카메라,자동차용품,50400,18,48380,907200,36360
2020-12-03,생산성본부,자동차TV,자동차용품,21500,9,18920,193500,23220
2020-12-04,테크브루,내비게이션,자동차용품,44500,18,42280,801000,39960
2020-12-15,테크브루,하이패스,자동차용품,48100,16,46660,769600,23040
2020-12-17,멀티캠퍼스,카오디오,자동차용품,34800,4,32020,139200,11120
2020-12-20,테크브루,아이스박스,캠핑용품,30400,18,28580,547200,32760
2020-12-21,테크브루,윤활방청제,자동차용품,57400,18,52810,1033200,82620
2020-12-24,한경아카데미,내비게이션,자동차용품,44500,15,42280,667500,33300
2020-12-24,멀티캠퍼스,러닝머신,헬스용품,38900,1,38510,38900,390
2020-12-26,멀티캠퍼스,스텝퍼,헬스용품,35200,5,32030,176000,15850
2020-12-28,생산성본부,하이패스,자동차용품,48100,11,46660,529100,15840
